shot_no,frame,shot_id,time,hitter_role,hitter_side,true_type,true_volley,true_in,notes
36,6612,35,01:50.2,opp_b,far,drive,,,backhand drive into the net
37,6760,36,01:52.7,user,near,between points,,,opponent picked up ball and hit it to user/partner with paddle
41,7727,40,02:08.8,user,near,serve,,,
49,8650,48,02:24.2,user,near,between points,,,"circle is on my paddle handle, but I don't have the ball. Then at same timeframe it switches to opponent picking up ball on side of net. No paddle used or ball thrown"
50,8788,49,02:26.5,opp_a,far,between points,,,opponent hits ball with paddle to my near side
51,8959,50,02:29.3,user,near,serve,,,
57,9559,56,02:39.3,partner,near,between points,,,partner picks up and hits ball with paddle to opponents
58,9917,57,02:45.3,opp_a,far,serve,,,
59,10216,58,02:50.3,user,near,return,,,
65,10802,64,03:00.0,partner,near,drive,,,opponent hit backhand drive into the net. Video segment also shows opponents partner picking up the ball.
66,11189,65,03:06.5,opp_a,far,between points,,,opponent hitting ball to partner (difficult to see. Could be throwing it)
75,13186,74,03:39.8,user,near,serve,,,opponent serving the ball. And also includes user returning the serve and ends with oppponent driving ball back
78,13980,77,03:53.0,partner,near,between points,,,partner hitting ball back using paddle
79,14158,78,03:56.0,opp_b,far,between points,,,opponent stops / catches ball with paddle 
80,14354,79,03:59.2,user,near,serve,,,"looks like serve by opponent however, there is no circle around anything during this segment"
81,15128,80,04:12.1,user,near,drive,,,"circle jumps around a bit, but shot is a drive by opponent and it is missed by user/partner"
82,15600,81,04:20.0,partner,near,between shots,,,"during this segment it is between shots and walking to the ball. However, the circle is around a ball being picked up and hit with paddle by a player from the next court.  Their ball rolled onto our court. "
83,15710,82,04:21.8,opp_b,far,not ours,,,looks like the contact is due to the person on the other court catching/hitting the ball that they hit onto our court
84,16050,83,04:27.5,partner,near,between points,,,partner hitting ball with paddle to opponents between points
85,17023,84,04:43.7,partner,near,drive,,,looks like opponent may have served it but not enough video to tell. It's hit to my partner who drives it with a backhand and ends with opponent about to drive it back.
88,17656,87,04:54.3,opp_b,far,,,,looks like shot on other court
89,17884,88,04:58.1,user,near,serve,,,
